label,text
spam,"WELLS FARGO: Your mortgage payment auto-draft of $1,877.34 FAILED due to insufficient funds. Avoid penalties — update your info at: wf-paymentfailed.com"
spam,"Chase: We noticed $17.00 charge that doesn't match your spending pattern. While this seems small, your card has been paused for safety. Resume access: chase-smalltxn-verify.net"
spam,"Your Apple ID verification code is 847291. If you did not request this, call us immediately at 1-888-274-0193 to secure your account."
spam,"ALERT: A login attempt was detected on your Chase account. Your one-time code is 563humanité. DO NOT share this with anyone. If this wasn't you, visit secure-chase-verify.com now."
spam,"Hi, this is Amazon Support. We sent you a code to verify your identity: 729104. Please reply with this code or your order will be cancelled within 10 minutes."
spam,"Google Security Alert: Someone tried accessing your account from Russia. Verification code: 384720. Share this code with our agent at 1-800-488-2931 to block the attempt."
spam,"Your PayPal account has been LIMITED. To restore access send us the code we just texted: 901847. Go to paypal-account-restore.net if you need help."
spam,"CODE: 512938. This is your Netflix login verification. If you didn't request this reply STOP or your account may be permanently suspended."
spam,"URGENT: We detected unusual activity on your Wells Fargo account. A hold of $1,247.00 has been placed. Verify your identity at wellsfargo-secure-id.com using code 673029."
spam,"Your verification code for Coinbase is 204857. A withdrawal of $3,400.00 was initiated. Call 1-877-302-9154 immediately if this wasn't you."
spam,"Hi it's Verizon. Your account login was attempted from a new device in Texas. Reply with code 748302 to confirm it was you or we'll lock the account for your safety."
spam,"FINAL NOTICE: Your Social Security benefits require re-verification. Code: 193847. Do NOT ignore this message. Call 1-866-441-7823 within 24 hours."
spam,"Zelle payment of $892.50 is pending your confirmation. Your one-time authorization code is 374918. Reply with code to release funds or visit zelle-verify-payment.com."
spam,"Your Microsoft account verification code is 628471. An admin has flagged suspicious sign-in activity. Share this code with support at 1-800-642-7676 to prevent lockout."
spam,"We noticed a sign-in to your Gmail account. Verification PIN: 839201. If this was not you please confirm immediately by texting this PIN back to us."
spam,"Bank of America: Your account shows a pending debit of $2,100.00. To STOP this transaction enter code 571023 at bofa-secureportal.com before midnight tonight."
spam,"Your Uber account was accessed from an unrecognized device. For your security we've generated code 467829. Our fraud team is standing by at 1-833-587-0024."
spam,"IMPORTANT: IRS has flagged your return for review. A temporary access code has been issued: 308465. Visit irs-taxpayer-verify.com to avoid penalties of up to $4,500."
spam,"ur Amazon Prime renew failed lol just kidding but seriously ur account code is 921736 tap here to verify or u lose access amzn-verify.link/acct"
spam,"COINBASE SECURITY: Your 2FA code is 183920. A transfer of 0.74 BTC has been requested. Do NOT share this code with anyone except our verification team at 1-855-264-9103."
spam,"Your Venmo account has been temporarily frozen due to suspicious activity. Enter verification code 604718 at venmo-account-secure.com to restore full access immediately."
spam,"T-Mobile Alert: A SIM swap was requested for your number. If this wasn't you CALL NOW: 1-888-390-2214. Your block code is 739012. You have 30 minutes to act."
spam,"Security code for your Walmart account: 852047. We detected a $689.99 order placed from a new location. Confirm or deny by replying YES or NO with your code."
spam,"Your Instagram account login was blocked. To unlock enter code 496130 here: instagram-account-unlock.com. Failure to verify in 2 hours results in permanent suspension."
spam,"Hello this is Capital One fraud prevention. We've placed a temporary hold on your card ending in 7842. Your release code is 274936. Confirm at 1-800-227-4825."
spam,"USPS: Your package could not be delivered due to incomplete address. Confirm your info and pay $1.35 redelivery fee using code 583017 at usps-redelivery.net today."
spam,"Robinhood verification: 714839. A sell order totaling $5,220.00 was placed on your account. If unauthorized, reply CANCEL with this code or call 1-844-730-6822 immediately."
spam,"Congrats! You've been selected as our WEEKLY WINNER for a $1,000 Walmart Gift Card. Claim before midnight: walmart-giftreward.net/claim7291"
spam,"AMAZON PRIZE DRAW: You are today's lucky winner! Your $500 Amazon voucher is waiting. Visit amzn-prizedrop.com/redeem and enter code: WIN500 to collect."
spam,"You have WON! A sweepstakes entry you submitted has been drawn as the GRAND PRIZE winner of $2,500. Reply YES or visit sweeps-central.net/winner8841 to verify your identity and collect."
spam,"Final notice: Your unclaimed reward of $750 expires TODAY. Go to rewardgate-official.com/unlock now."
spam,"Walmart Customer Survey WINNER: Congratulations! As a thank-you for completing our survey, you've been chosen to receive a $500 gift card. Click to claim: wmt-surveywinner.com/gc2024"
spam,"You've been SELECTED! Our monthly prize draw has chosen your number. You've won a $1,500 Best Buy gift card. Don't let it expire — claim at bestbuy-winnerzone.com/prize441"
spam,"FINAL ALERT: This is your 3rd and last notification. Your Amazon prize package worth $850 will be forfeited in 2 hours if unclaimed. Go to amz-pkgreward.net/last"
spam,"Congrats from the National Sweepstakes Board! Your phone number was randomly selected to WIN $3,000 cash. To receive your funds call 1-888-204-7731 or visit natlsweeps-board.com/verify"
spam,"You're a WINNER! The Walmart Weekly Draw has selected you for a $250 gift card. Simply confirm your address at wm-weeklyprize.com/confirm to receive it by mail."
spam,"Lucky you! Your number ending in 4872 has won our GRAND LOTTERY JACKPOT of $10,000. Claim your winnings within 24hrs: lottowin-center.com/claim?id=4872"
spam,"FREE $100 Target gift card available for you! You were randomly picked from our loyalty list. Tap to accept before it's reassigned: target-loyaltygift.com/accept9201"
spam,"NOTICE: A prize of $1,200 has been reserved in your name from the February Mega Sweepstakes. This offer expires in 48 hours. Visit megaswp-rewards.com/myprize to claim."
spam,"You've won an Apple iPhone 15 in the AT&T Customer Appreciation Giveaway! This is not a joke. Claim your device at att-custwin.com/iphone-prize or call 1-877-539-0042."
spam,"Exclusive for you: A $500 Visa gift card is ready to be sent to your address. You were selected by our national prize committee. Go to visaprize-select.com/send500"
spam,"Congratulations! Your entry into the Annual Amazon Sweepstakes has WON you a $2,000 shopping credit. ACT NOW before another winner is selected: amzn-sweepwin.com/yours"
spam,"Your phone has been randomly chosen in our WEEKLY $1,000 CASH giveaway! To verify and claim your prize visit cashdrawdaily.com/claim or text CLAIM to 55831."
spam,"WALMART ALERT: A $300 reward is expiring from your account. We were unable to reach you earlier. Claim immediately at wmt-rewardexpire.com/last-chance"
spam,"You're our GRAND PRIZE WINNER for March! You've been awarded $5,000 from the National Consumer Lottery Fund. To process your payment visit nclf-prizes.com/grand or call 1-855-712-0093."
spam,"Hey! We tried reaching you about your $750 prize. You were selected from millions of shoppers. Don't miss out — confirm at shopperprize-now.com/verify2024 today!"
spam,"COSTCO PRIZE NOTIFICATION: You've been chosen as this week's $500 gift card winner through our member appreciation draw. Confirm your membership at costco-membergift.com/win"
spam,"ur number was pulled in our txt lottery!! u won $200 amazon credit lol dont miss it — amztxt-reward.com/go use code TXT200"
spam,"IMPORTANT: The $1,000 reward tied to your mobile number has not been claimed. This is your last chance. Visit unclaimed-prize.net/mobile?ref=TX8812 now to avoid forfeiture."
spam,"You have been PRE-SELECTED to receive a FREE $250 Visa prepaid card as part of our customer satisfaction program. Accept your card at visa-prepaid-offer.com/accept or reply ACCEPT."
spam,"Sweepstakes Commission Notice: Your number was drawn as the alternate winner for $4,500 after the original winner did not respond in time. Claim your award: sweepscomm-alt.com/winner or call 1-866-430-7725."
spam,"BIG WIN! You matched our prize draw criteria and have been awarded a $600 Sam's Club shopping voucher. Visit samsclub-winnercheck.com/voucher to confirm your details and collect."
spam,"ALERT: IRS has flagged your account for unpaid taxes of $3,847.00. Failure to respond within 24 hours will result in wage garnishment. Call 1-888-304-7721 immediately or visit irs-taxpayerportal.com to resolve."
spam,"Your Social Security Number has been SUSPENDED due to suspicious activity. To reactivate, call 1-800-772-4991 now. Ignoring this notice may result in arrest."
spam,"DMV NOTICE: Your driver license #TX4829301 is scheduled for IMMEDIATE REVOCATION. Unpaid violation balance of $214.00 must be resolved today at dmv-onlineportal.net."
spam,"This is a final notice from the U.S. Immigration Services. Your visa status requires immediate verification. Please visit uscis-statuscheck.com or call 1-877-409-8201 within 48 hrs."
spam,"IRS: We have been trying to reach you regarding a tax refund of $1,204.00 owed to you. Claim before it expires: irs-refundclaim.net/secure"
spam,"MEDICARE ALERT: Unusual billing activity detected on your Medicare account. Your benefits may be suspended. Call 1-800-633-4227 ext. 5 to verify your identity NOW."
spam,"Your SSN has been linked to suspicious financial transactions in Texas and Arizona. A federal warrant may be issued. Call 1-888-501-3974 IMMEDIATELY."
spam,"Final IRS WARNING: A lien will be placed on your property within 72 hours due to an outstanding balance of $6,532.18. Resolve now: taxresolution-irs.gov-helpcenter.com"
spam,"USCIS ALERT: Your residency documentation has an error that must be corrected within 3 business days. Visit immigration-caseupdate.com or call 1-855-204-6371."
spam,"U.S. Social Security Administration: ACTION REQUIRED. Your benefits check of $892.00 has been placed on hold. Confirm your information at ssa-benefitverify.com."
spam,"IRS FINAL NOTICE — Unpaid tax debt of $2,109.44 is now subject to federal collection. A revenue officer has been assigned to your case. Call 1-866-714-3300 before 5PM today."
spam,"Your Medicare card has been flagged for misuse. To avoid TERMINATION of benefits, verify your identity immediately at medicare-cardverify.net or call 1-800-441-9928."
spam,"DEPT OF HOMELAND SECURITY: Your immigration file contains a discrepancy. Failure to respond within 24 hours may result in deportation proceedings. Call 1-855-379-0142."
spam,"IRS: This is your second and final notice. You owe $4,771.00 in back taxes. A court order for asset seizure is pending. Act now at irs-caseresolve.com."
spam,"SSA NOTICE: We were unable to verify your identity for your upcoming payment. Your direct deposit of $1,340.00 has been delayed. Update records at ssa-directdeposit.net."
spam,"Warning from the DMV: Your vehicle registration for plate 7HGX934 has EXPIRED and a citation fee of $189.00 is due. Pay at dmv-citationpay.com to avoid suspension."
spam,"URGENT — Medicare billing dept: An overpayment of $437.00 has been issued under your Medicare ID. To avoid collections, call 1-877-228-0041 by end of business today."
spam,"Your Social Security benefits are at risk of PERMANENT SUSPENSION. Suspicious activity originating from Mexico has been tied to your SSN. Immediate action required: 1-888-502-6641."
spam,"IRS COLLECTIONS: We have attempted to contact you multiple times. Your tax account balance of $8,214.00 is now delinquent. Legal action begins in 48 hours unless resolved at taxpayer-irsreview.com."
spam,"USCIS: Your green card renewal application #GC-2024-8831 has been flagged. A $150.00 processing fee is past due. Visit gc-renewalstatus.com immediately."
spam,"DMV: License suspension notice for [Name]. Outstanding fines total $302.00. Your driving privileges will be revoked in 24 hours. Pay at dmv-finepayment.net."
spam,"SOCIAL SECURITY ADMIN: We have detected unauthorized use of your SSN in an active drug trafficking investigation. To protect your record, call 1-800-819-5044 now."
spam,"IRS ALERT: Your tax return has been selected for mandatory audit. A balance of $1,677.00 is owed. Respond at irs-auditreply.com within 3 days or face penalty."
spam,"MEDICARE: Your supplemental coverage will be cancelled in 48 hours due to unverified information on file. To prevent interruption call 1-855-601-2234 or go to medicare-updateinfo.com."
spam,"U.S. Treasury Dept: A federal tax lien notice has been filed against your name for $5,933.00. This is your LAST CHANCE to dispute before asset seizure. Call 1-866-490-7753."
spam,"Your Chase account has been LOCKED due to suspicious activity. Verify your identity within 24 hours or your account will be permanently closed: chase-secure-verify.com/unlock"
spam,"URGENT: Your Netflix subscription has expired. Update your payment info NOW to avoid losing access: netflx-billing.net/update-payment"
spam,"Wells Fargo Alert: We detected unusual sign-in activity on your account. Click here IMMEDIATELY to confirm your identity or your account will be suspended: wellsfargo-alert-id.com/verify"
spam,"Your Amazon package could not be delivered. Confirm your shipping address within 24hrs to avoid return: amzn-delivery-confirm.net/track82930"
spam,"IRS NOTICE: You are eligible for a $1,340.00 tax refund. Claim before 12/31 or forfeit your payment: irs-refund-portal.com/claim-now"
spam,"PAYPAL: Your account access is limited. You must verify your information by tomorrow or transfers will be blocked. Act now: paypl-secure.com/restore"
spam,"Your Apple ID has been SUSPENDED. Someone attempted to access your account from an unknown device. Verify here: apple-id-support.net/confirm-account"
spam,"Bank of America: A hold has been placed on your account. To release funds immediately, verify your details at: bofa-accountverify.com/secure-login"
spam,"FINAL NOTICE: Your Venmo account will be deactivated in 24 hours. Verify your phone number and banking info to keep access: venmo-verify.net/confirm"
spam,"Congratulations! A $500.00 reward is waiting for you from Walmart. Claim your gift before it expires at: walmart-rewards-hub.com/get500"
spam,"AT&T: Your bill of $213.47 is past due. Avoid service interruption — pay now: att-payment-portal.net/pay-now or call 1-888-302-7741"
spam,"ALERT from your bank: We noticed a login from Bulgaria at 3:14 AM. If this wasn't you, secure your account immediately: secure-bank-alert.com/review-login"
spam,"Your Social Security Number has been temporarily SUSPENDED due to suspicious activity. Call 1-800-492-3318 immediately to reactivate."
spam,"USPS: Your package #9400188902 is on hold. A $2.85 redelivery fee is required within 48hrs: usps-redelivery.net/pay"
spam,"Your Citibank account shows an OVERDUE balance of $0.00. Verify your information to avoid credit reporting: citi-accountalert.com/verify-now"
spam,"MetLife Insurance: Your policy is set to LAPSE in 24 hours due to an unverified payment method. Update now: metlife-billing-secure.com/update"
spam,"GOOGLE SECURITY ALERT: A new device signed into your account. If this wasn't you, immediately revoke access: google-accounts-verify.net/review-activity"
spam,"Your Zelle payment of $847.00 is PENDING verification. Confirm your identity within 1 hour or the transaction will be cancelled: zelle-secure-confirm.com/verify"
spam,"Coinbase: Your crypto wallet has been flagged for review. Failure to verify within 24 hours will result in a permanent account freeze: coinbase-verify-id.net/unlock"
spam,"IMPORTANT: Your health insurance enrollment expires TONIGHT. Avoid a gap in coverage — reconfirm your plan: healthcare-enroll-secure.com/renew-now"
spam,"You have 1 unread ALERT from your mortgage servicer. A required document is missing from your file. Submit here to avoid penalties: mortgageportal-docs.com/upload"
spam,"T-Mobile: We were unable to process your autopay of $89.00. Update your payment method in the next 12 hours to avoid suspension: tmobile-billing.net/update"
spam,"Amex Fraud Dept: A charge of $1,299.00 at Best Buy was flagged on your card ending in 4492. Dispute this charge: amex-fraudalert.com/dispute-now"
spam,"Your Spotify Premium account has EXPIRED. Reactivate in the next 24 hours to keep your playlists and history: spotify-billing-update.net/reactivate"
spam,"FINAL WARNING: Failure to verify your identity with the Social Security Administration will result in legal action. Respond now: ssa-gov-identity.com/verify-urgent"
spam,"Urgent: We're hiring remote workers NOW. Earn $750/day from home, no experience needed. Apply in the next 2 hours or position goes to next candidate. Click: jobs.remotehire24.com/apply"
spam,"You've been selected for a part-time data entry position. Start TONIGHT. $38/hr, work from your phone. Text YES to 1-877-204-9931"
spam,"CONGRATS! Our hiring team reviewed your profile and you QUALIFY for a work-from-home role paying $2,800/week. Limited spots. Go to: quickhirejobs.net/start"
spam,"Hey, saw your resume online. We have an opening for remote product testers. $500-$1,200 weekly, flexible hours, no experience required. Reply INTERESTED or visit hirenow-remote.com"
spam,"FINAL NOTICE: Your work-from-home application is pending approval. Confirm your spot NOW at earnfromhome247.com before it expires at midnight."
spam,"Make $300 TODAY just by completing simple online tasks from your phone. No boss, no commute, no experience. Sign up free: taskpay-remote.io/join"
spam,"Hi! This is Sarah from TalentBridge Staffing. We have an immediate opening for a remote data entry clerk. $22-$45/hr. Respond to this message or call 1-855-348-7162."
spam,"⚠️ LAST CHANCE ⚠️ 3 remote positions left in your area. $1,500/week guaranteed. No interview required. Claim your spot: workfromhomeusa.net/claim"
spam,"We noticed you recently searched for jobs. We're offering PAID work-from-home training this week. Earn while you learn. $19/hr to start. Info: remotejobsnow.co/info"
spam,"Part time remote work available NOW. Earn up to $85/hr reviewing products from home. No resume needed. Text WORK to 74831"
spam,"Your application for Remote Data Specialist has been pre-approved! Start earning $3,200/week as early as Monday. All you need is a phone or laptop. Visit: dataworkpro.com/start"
spam,"Hiring immediately: Online chat agents needed. Work from ANYWHERE. $28-$52/hr, set your own schedule. No experience necessary. Apply at chatjobs-remote.net/apply"
spam,"Hey it's Mike from WorkFromHome Careers. Got your info from a job board. We're filling remote positions fast and I think you'd be a great fit. Call or text back: 1-833-917-4402"
spam,"🚨 ALERT: 47 people in your area are already earning $900+/week from home. Don't miss out. Takes 5 min to apply. Go to: earnbig-remote.com"
spam,"Simple phone-based data entry. Earn $18-$30 per task completed. Work when you want, how much you want. New members needed urgently. Register: phonetasks247.com/register"
spam,"Immediate hire for remote survey evaluators. $400-$1,000/week. Paid weekly via Zelle or PayPal. Apply before Friday: surveypay-jobs.com/open"
spam,"No experience? No problem. We train you and PAY you. Work from home starting at $25/hr. Full and part time available. Limited enrollment open now: homeworkpays.net"
spam,"Your neighbor signed up last week and made $1,847 in 3 days. Our remote opportunity is real and it's expanding to your zip code. Don't wait: fastcashhome.co/join"
spam,"REMOTE JOBS — Hiring this week only. Package inspection, data entry, and customer tagging roles available. $17-$42/hr. No interview. Start immediately: remotehire.io/now"
spam,"We've been trying to reach you about a remote work opportunity. Earn $500-$900 weekly part time. If you're still interested reply YES and we'll send details."
spam,"🏠 Work from home. Set your own hours. Make $2,100+ per week. We provide all the tools and training. Go to officialremotework.net/apply — offer ends Sunday."
spam,"Hiring remote product reviewers. Get paid to test items at home and keep them. Earn $750-$1,500/week. Phone or laptop required. Sign up: testkeeppay.com/members"
spam,"This is an automated notice: A remote position matching your skills is available in your area. Compensation: up to $58/hr. DO NOT IGNORE. Respond now: 1-844-203-7754"
spam,"hey r u still looking for work? my cousin got me this remote gig and im making like $600 a week just doing data entry on my phone lol. lmk if u want the link: homegigs-legit.com"
spam,"⏰ Time sensitive: Remote administrative assistant roles closing TODAY. $31/hr, benefits included, no degree required. Submit your info now at: adminjobshome.org/apply"
spam,"URGENT: Your Bitcoin wallet has been flagged for inactivity. Claim your $4,872 before it expires in 24hrs: btc-secure-wallet.net/claim"
spam,"Hey sorry this is probably the wrong number lol but are you the person Mark told me about? The one interested in crypto investing?"
spam,"🚨 ALERT 🚨 BTC is about to PUMP 340% in the next 6 hours. Our insider signal just went live. Join now before it closes: cryptosignal-vip.io/join"
spam,"Your account with CoinVault has a pending withdrawal of $12,450. Verify your identity to release funds: coinvault-verify.net"
spam,"Hi! I'm so sorry, I was trying to text my cousin Jennifer. You're not Jennifer are you? 😅"
spam,"BITCOIN SIGNAL DETECTED. Buy window: NOW. Our algorithm predicted the last 3 pumps with 97% accuracy. Free trial ends midnight: tradebotpro-signals.com/free"
spam,"You have been selected as a premium member of our BTC trading group. Your guaranteed monthly return is 38%. Activate here: btc-premium-group.net/activate"
spam,"Omg I'm so embarrassed I texted the wrong number again 😭 I was supposed to send this to my friend who makes like $8k a month from home"
spam,"⚠️ Final notice: $6,200 in unclaimed crypto rewards linked to your phone number. Expires TODAY. Redeem: crypto-rewards-hub.com/redeem"
spam,"CRYPTO TRADING ALERT: ETH/BTC pair showing MASSIVE breakout signal. Our VIP members already up 22% today. Get in now: vip-crypto-alerts.io"
spam,"Hey!! I think I have the wrong number but since I have you here — have you heard about the Bitcoin trading platform my mentor showed me? I went from $500 to $9,400 in 3 weeks"
spam,"Your CryptoEdge portfolio generated $3,817 in profits this week. Login to withdraw: cryptoedge-portal.net/login"
spam,"LAST CHANCE. Bitcoin halving event creating ONCE IN A DECADE opportunity. Our top traders are loading up NOW. Don't miss: halvingprofit.com/access"
spam,"Hi there, wrong number I know! But genuinely curious — are you open to learning about a passive income stream? My financial advisor helped me quit my job last year"
spam,"⚡ BTC PUMP ALERT ⚡ Price target: $94,000 within 72hrs. Signal confirmed by 3 independent indicators. Act NOW: signalmaster-btc.com/signal"
spam,"Congratulations! Your phone number has been randomly selected to receive $2,500 in FREE Bitcoin. Claim within 2 hours: free-btc-claim.net/winner"
spam,"So embarrassing lol I meant to text David. Hey since you're here tho my trading mentor has an open spot in his group if you're interested? Changed my life fr"
spam,"ACCOUNT SECURITY NOTICE: Unusual login detected on your Binance-linked wallet. Secure your $18,340 now: binance-secure-alert.com/verify"
spam,"🔥 HOT SIGNAL 🔥 Altcoin about to 10x based on whale wallet movements. Window closes in 90 minutes. VIP access: altcoin-whales.io/vip"
spam,"Your crypto mining rewards of $743 have been held due to an unverified account. Complete verification: mining-rewards-portal.com/verify"
spam,"Heyy wrong number but I literally just made $2,100 today from my phone following crypto signals. Would you want me to share the group link?"
spam,"IMMEDIATE ACTION REQUIRED: Your digital asset account shows $29,000 pending release. Click to authorize transfer within 1 hour or funds will be returned: asset-release-portal.net"
spam,"📈 BTC breaking $91K resistance NOW. Our quant model flashing strongest BUY signal of 2024. Limited spots: quantbtc-signals.com/enter"
spam,"Sorry wrong person!! But omg since I have you — my boyfriend's uncle is a crypto trader and he's taking on 5 new students this month. He turned my $300 into $4,600 in 11 days"
spam,"⛔ WARNING ⛔ Your linked wallet address has received an incoming transfer of 0.43 BTC that requires manual approval. Approve or decline: btc-transfer-approval.com/pending"
spam,"Your USPS package has been held at our facility. A customs fee of $3.47 is required before delivery can proceed. Pay now to avoid return: usps-pkg-confirm.com/track8821"
spam,"FedEx: We attempted delivery at 10:42am. Reschedule within 24hrs or package will be returned to sender. fedex-redeliver.net/DJ9921"
spam,"DHL NOTICE: Your shipment (ID: 7740293) is PENDING clearance. Failure to verify your address within 2 hours will result in automatic return. Tap here: dhl-verify-now.com/48820x"
spam,"Your package couldn't be delivered today. Update your delivery preferences here: ups-mydelivery.net/reroute?id=99021. Offer expires tonight."
spam,"USPS ALERT: A package addressed to you requires a $1.99 redelivery fee. Avoid return shipment — pay at: usps-redelivery-portal.com/a7712"
spam,"We tried to deliver your FedEx package but no one was home. Click to choose a new delivery window: fedex-schedule.net/retry-882 — link expires in 3 hours."
spam,"UPS: Your parcel (TRK#1Z8293001) is on hold due to incomplete address information. Please update now: ups-addressfix.com/update29921"
